WBAN,ICAO
24112,KGFA
94012,KHVR
24146,KGPI
24243,KYKM
24237,KSMP
94239,KEAT
24110,KMWH
24149,KLWS
4114,KLLJ
24136,KCOE
24163,KPSC
24160,KALW
24157,KGEG
24114,KSKA
94176,KSFF
94129,KPUW
94119,KDEW
24220,KELN
94266,KCLM
94197,KOMK
24141,KEPH
94224,KAST
94298,KVUO
24227,KOLM
94225,KHQM
24223,KKLS
94227,KSHN
94263,KPWT
24233,KSEA
94248,KRNT
24234,KBFI
24222,KPAE
94274,KTIW
4205,KAWO
94240,KUIL
24217,KBLI
94276,KFHR
54793,KFWN
3042,KVTP
24103,KDPG
24207,KTCM
24201,KGRF
3763,KSIF
64773,K1P1
24037,KMLS
53937,KDUA
53925,KDEQ
14715,KGTB
14710,KMHT
54754,KASH
14763,KPSF
53897,KHSB
63814,KSAR
4808,KARR
53891,KFWC
53887,KENL
53889,KFOA
53822,KOLY
63817,KTAZ
53950,KPPQ
4838,KPWK
53944,KIJX
4862,KAAA
94789,KJFK
54787,KFRG
14719,KFOK
94723,KLWM
14753,KMQE
14703,KCEF
14775,KBAF
14747,KDKK
4741,KSCH
93242,KMAE
93210,KOVE
53120,KRNM
53130,KWHP
23277,KWVI
23244,KNUQ
23202,KSUU
93065,KAFF
93978,KPTT
3998,KPPF
13840,KFFO
13705,KADW
93784,KDMH
93786,KOXB
3726,KWWD
13702,KLFI
63806,KMTV
93104,KNID
23141,KINS
13975,KGAG
13806,KHOP
93808,KBWG
3741,KOCW
3702,KDPL
93737,KFBG
3709,KHBI
3712,KHRJ
93785,KIGX
3708,KGWW
23110,KNLC
3102,KONT
3165,KEMT
3144,KIPL
3164,KCZZ
3104,KTRM
23158,KBLH
23002,KHMN
3059,KSOA
53997,KMKN
93042,KDHT
13961,KFTW
13973,KJCT
3904,KCLL
93915,KAEX
12816,KGNV
93874,KGPT
13978,KGWO
13833,KHBG
13939,KGLH
13820,KBIX
53858,KPQL
13846,KPAM
3818,KMAI
3852,KHRT
13824,KSVN
63818,KTBR
63809,KOPN
3821,KLGC
63803,KLZU
3832,KWDR
13857,KVAD
63813,KRYY
53860,KCRG
12849,KFLL
12834,KDAB
12810,KMCF
13849,KSSC
13717,KMYR
93718,KCRE
12843,KVRB
12876,KGIF
12886,KTTS
12867,KCOF
415,K42J
479,KTSP
395,KE16
396,KFOT
13601,TXKF
11706,MUGM
11813,MWCR
11603,TJBQ
11653,TJMZ
11641,TJSJ
494,TJIG
11630,TJNR
11640,TIST
11624,TISX
399,TNCM
401,TFFR
403,TDCF
406,TLPL
410,TTCP
11634,TTPP
411,TNCA
413,TNCB
10502,SYCJ
90001,NZSP
87601,NZCM
414,NZPG
22701,PMDY
22501,PHBK
22536,PHLI
22508,PHHI
22519,PHNG
22551,PHJR
22521,PHNL
22534,PHMK
22516,PHOG
22552,PHJH
22524,PHNY
21510,PHKO
21508,PHSF
41415,PGUM
41414,PGUA
41419,PGRO
41418,PGSN
41420,PGWT
41606,PWAK
21504,PHTO
40505,PTKK
40504,PTTP
493,PTSA
40604,PKWA
40710,PKMR
40310,PTRO
40309,PTKR
40308,PTYA
80705,NGFU
61705,NSTU
488,NZWN
41231,RPLB
445,KDYA
451,KFWB
476,KSJS
4134,KQCA
12946,KNGW
23122,KSBD
23162,KDTA
53129,KAZC
63820,KUCY
63890,KNEN
64757,050E
93776,KNIS
93804,SPA
94290,KSEW
