WBAN,ICAO
12841,KORL
53959,KAWM
12861,KOCF
12854,KSFB
4866,KBUU
13889,KJAX
3038,KCCU
63842,KDQH
93837,KNIP
3853,KNRB
63823,KVQQ
53853,KDTS
3822,KSAV
53935,KCHK
3727,KCTZ
63840,KCUL
4871,KDKB
94891,KDNV
53938,KDUC
53888,KEXX
13880,KCHS
13730,KFDK
4876,KFEP
93831,KNBC
94959,KGBG
3875,KLHW
53940,KGCM
53941,KGMJ
4878,KGOV
53984,KGPM
3030,KGUY
53127,KHND
4936,KHNR
64761,KHTO
53936,KCQB
3039,KCPW
12895,KFPR
92806,KSPG
12835,KFMY
3056,KGNC
12894,KRSW
63848,K47A
12842,KTPA
63847,K4A9
53982,KJXI
53979,KGYB
54901,KCFE
12871,KSRQ
12873,KPIE
12883,KLAL
12833,KCTY
3050,KSNK
12809,KBOW
4998,KHJH
4829,KHYX
4879,KIGQ
4880,KIKK
53899,KIPJ
4939,KJKJ
13861,KAYS
3713,KJNX
63801,KJQF
53946,KJSV
63822,KVDI
53883,KBQK
13878,KSSI
63852,KHSA
93805,KTLH
3731,KLHZ
53975,KLNC
4945,KMGG
4884,KMGN
53817,KMGR
63824,KVUJ
4899,KVYS
14794,KWST
53957,KWWR
53885,KDNN
3040,KMNH
53873,KVPC
4949,KMQB
12980,KT65
13869,KABY
53949,KOKM
63808,KOLV
93845,KVLD
3718,KOMH
4960,KOVL
3058,KPEQ
3813,KMCN
4889,KPNT
63810,KPRG
53951,KPVJ
23097,KPVW
13860,KWRB
53884,KCCO
63811,KRHP
53953,KRKR
4968,KRNH
3820,KAGS
13837,KDNL
4890,KRPJ
4972,KRZN
53838,KGVL
4892,KSJX
93911,KSNL
53985,KSRC
92815,KSUA
13874,KATL
3721,KSUT
23033,KSWW
3722,KTDF
4896,KTIP
3888,KFTY
53863,KPDK
53819,KFFC
63819,KTNB
53956,KTQH
12832,KAAF
3723,KTTA
12985,KUVA
3041,KMYP
4996,KSFY
4224,KORS
12986,KPKV
13858,KVPS
94087,KTIF
92814,KSGJ
12819,KLEE
3070,KDUX
13884,KCEW
63881,KDBN
444,KDWX
13899,KPNS
53862,K40J
3855,KNPA
93841,KNSE
13894,KMOB
13838,KBFM
63873,KHEY
53861,KLOR
54925,KLCG
3738,KRCZ
358,KCGS
3844,KEGI
54785,KSMQ
53995,KL75
63887,KMWO
13829,KLSF
53958,KRSN
54923,KCNB
53992,KBQP
93842,KCSG
64774,KGHG
13895,KMGM
360,KOBE
13821,KMXF
3878,KTOI
13839,KDHN
3850,KOZR
13864,KMGE
53843,K79J
53820,KGZH
53852,KDCU
13876,KBHM
3892,KAUO
3896,KGAD
93806,KTCL
13871,KANB
470,KPMV
53864,KEET
12990,KGNI
12916,KMSY
3908,KHDC
53915,KARA
53917,KNEW
12958,KNBG
53943,KIER
13970,KBTR
3071,KMDD
12936,KPTN
54953,KTKV
3069,K04V
3976,KDRI
12994,KHBV
13865,KMEI
92822,KOMN
54931,KTKC
54826,KLWA
3866,KNMM
54824,KRNP
53808,KPIB
3940,KJAN
12953,KARM
13927,KHKS
93999,KVKS
3961,KHEZ
93919,KMCB
92808,KEVB
93937,KSLR
23098,KECU
23903,KUTA
53865,KASD
363,KRCM
364,KOJA
3931,KPOE
3937,KLCH
12968,KP92
13941,KCWF
13976,KLFT
12927,KHUM
12917,KBPT
12971,KBAZ
12923,KGLS
12975,KLVJ
53910,KDWH
12960,KIAH
12906,KEFD
12918,KHOU
53902,KCXO
93987,KLFK
53903,KUTS
13972,KTYR
53912,KCRS
3901,KGGG
53907,KGKY
13957,KSHV
53905,KDTN
13944,KBAD
13942,KMLU
13935,KESF
3996,KTVR
53911,KTRL
53948,KOCH
12919,KBRO
12904,KHRL
12959,KMFE
12957,KPIL
12924,KCRP
12926,KNGP
12928,KNQI
12932,KALI
12974,KNOG
12907,KLRD
12970,KSSF
12972,KRKP
12947,KCOT
12976,KLBX
12921,KSAT
12962,KHDO
12909,KSKF
12911,KRND
12961,KERV
12979,KHYI
13904,KAUS
53914,KTKI
3999,KBMQ
12977,KSGR
13958,KATT
53942,KGTU
12912,KVCT
93929,KGLE
53928,K11R
12978,K3T5
12935,KPSX
13959,KACT
53952,KPWG
3933,KHLR
3972,KILE
3902,KGRK
93984,KTPL
13960,KDAL
93955,KPRX
13926,KGVT
3991,KDTO
3927,KDFW
3985,KFWS
53909,KAFW
13911,KNFW
93985,KMWL
3970,KADS
3971,KRBD
3969,KSEP
22010,KDRT
22001,KDLF
3032,K6R6
23055,KGDP
23034,KSJT
93046,KHHF
93035,KMRF
3031,KODO
23023,KMAF
23091,KFST
23040,KINK
13962,KABI
93943,KBWD
23042,KLBB
3035,KATS
3027,KCQC
23052,KRTN
23009,KROW
93083,KSRR
23008,KCVS
93033,KCNM
93034,KHOB
23077,KCVN
366,KCWV
367,KHWY
93097,KALM
93041,KLRU
23044,KELP
93045,KTCS
93026,KDUG
93063,KSVC
23078,KDMN
3196,KOLS
3124,KFHU
23160,KTUS
23109,KDMA
93084,KSAD
3914,KCGZ
53128,KCHD
3029,KRQE
23183,KPHX
3185,KFFZ
3184,KDVT
23111,KLUF
23104,KIWA
53126,KGEU
3186,KGYR
3192,KSDL
23199,KNJK
53146,KALK
3068,KABH
53989,KAMM
3949,KAQV
53988,KBKB
3749,KRSP
93762,KRYT
23119,KRIV
93138,KPSP
3171,KRAL
93134,KCQT
23152,KBUR
93197,KSMO
23130,KVNY
3180,KPOC
23243,KLPC
93206,KSBP
3179,KCNO
23188,KSAN
3131,KMYF
3178,KSDM
93112,KNZY
53143,KSEE
93115,KNRS
93116,KNSI
23191,KAVX
93117,KNUC
3154,KNFG
3177,KCRQ
369,KNXF
93107,KNKX
53121,KOKB
23174,KLAX
3183,KMHV
3174,KTOA
3167,KHHR
23129,KLGB
63878,K3LF
53141,KSLI
3166,KFUL
93184,KSNA
3810,KHKY
13748,KILM
13714,KPOB
93747,KHFF
93740,KFAY
93765,KMRH
13766,KMQI
63816,KSVH
13722,KRDU
13783,KPGV
13713,KGSB
93726,KISO
93759,KRWI
93753,KOAJ
13786,KECG
3703,KEDE
13769,KNTU
93796,KASJ
13737,KORF
13763,KFKN
13750,KNGU
93741,KPHF
93735,KFAF
13754,KNKT
93719,KEWN
93727,KNCA
93743,KNJM
93798,KCJR
13883,KCAE
53867,KCUB
3858,KMMT
13744,KFLO
371,KMNI
13776,KLBT
93782,KMEB
13873,KAHN
3715,KLKU
53854,KOGB
3742,KUDG
53871,KUZA
53850,KCEU
13886,KGMU
3870,KGSP
63889,KGYH
14886,KLNL
53874,KGRD
93729,KHSE
13881,KCLT
3720,KSOP
53890,KFQD
53892,KGEV
53870,KAKH
63859,KMRN
3812,KAVL
63812,KRUQ
13870,KAMG
63821,KUKF
13723,KGSO
53144,K9L2
93783,KBUY
63807,KMWK
93846,KAND
93807,KINT
53872,KEQY
93801,KRMG
3856,KHSV
63883,KHUA
13896,KMSL
13882,KCHA
463,KMRC
3847,KCSV
13891,KTYS
13897,KBNA
13827,KMQY
372,KSRB
3894,KCKV
93839,KNQA
3935,KCGI
3975,KPOF
13825,KCBM
53893,KGTR
93862,KTUP
13893,KMEM
3811,KMKL
3809,KDYR
13877,KTRI
3952,KLZK
13963,KLIT
3930,KLRF
93991,KARG
3953,KJBR
13814,KBYH
53869,KHKA
3962,KHOT
13925,KSGT
93988,KPBF
13977,KTXK
93992,KELD
53919,KLLQ
373,KCDH
53920,KRUE
3973,KASG
53921,KMWT
53922,KXNA
53918,KBPK
13964,KFSM
54921,KBVN
53955,KSLG
3978,KVBT
93993,KFYV
3918,KFLP
53934,KBVX
53954,KROG
13971,KHRO
53901,KUNO
13987,KJLN
13966,KSPS
13902,KLTS
93986,KHBR
3932,KCSM
3981,KFDR
53929,K1F0
13967,KOKC
13909,KEND
53986,KWDG
53913,KGOK
13919,KTIK
3954,KPWA
3965,KSWO
13945,KFSI
93940,KADM
93953,KMKO
13968,KTUL
53908,KRVS
3959,KBVO
93950,KMLC
3948,KOUN
3950,KLAW
23051,KCAO
93057,KGNT
3737,KONX
23081,KGUP
93942,KBBD
53998,KORG
23047,KAMA
3024,KBGD
3034,KAEG
23050,KABQ
93091,KLAM
23049,KSAF
23090,KFMN
23007,KCDS
3012,KSKX
23048,KTCC
23054,KLVS
93167,KIGM
3162,KPGA
23184,KPRC
23194,KINW
93139,KPAN
3101,KSOW
3103,KFLG
93027,KSJN
375,KSEZ
54928,KRCX
53990,K4O4
23901,KRWV
93244,KIZA
3195,KGCN
53135,KIFP
23179,KEED
23114,KEDW
23161,KDAG
3159,KWJF
23182,KPMD
23131,KVCV
23187,KSDB
23155,KBFL
23169,KLAS
23112,KLSV
3160,KDRA
93193,KFAT
3181,KMMH
23149,KPTV
93144,KVIS
53119,KHJO
93111,KNTD
23190,KSBA
23136,KCMA
93110,KOXR
93214,KVBG
23273,KSMX
93209,KPRB
93720,KSBY
14711,KMDT
3701,KCPK
3719,KSFQ
13740,KRIC
93714,KPTB
93736,KCHO
3707,KFVX
93773,KAKQ
93739,KWAL
3716,KMFV
93775,KOFP
93738,KIAD
3706,KEZF
13773,KNYG
3710,KHEF
93728,KDAA
13721,KNHK
3756,KESN
13743,KDCA
3717,KOKV
3714,KJYO
63805,KMKJ
13701,KAPG
53818,KVJI
93721,KBWI
93706,KHGR
93744,KMTN
93730,KACY
93780,KVAY
13735,KMIV
54779,K12N
13739,KPHL
54760,KBLM
94732,KPNE
13707,KDOV
14780,KNEL
13764,KGED
54743,KCDW
14792,KTTN
14706,KWRI
54738,KMMU
13733,KLYH
93760,KSHD
13728,KDAN
53895,KHLX
13741,KROA
53881,KBCB
93757,KHSP
13868,KPSK
63802,KLNP
93797,KAVC
3872,KBKW
3859,KBLF
53801,KLWB
13866,KCRW
3725,KW99
13729,KEKN
3802,KCKB
13736,KMGW
13734,KMRB
13781,KILG
3889,KJKL
14891,KMFD
93814,KCVG
93820,KLEX
93821,KSDF
53841,KFFT
13810,KLOU
53803,KOWB
53886,KEHR
13807,KFTK
3849,KLOZ
3860,KHTS
53868,KOQT
3804,KPKB
14894,KHLG
53859,KMGY
14821,KCMH
63825,KTZR
13812,KLCK
93824,KZZV
4848,KTDZ
4804,KOSU
93815,KDAY
53844,KLHQ
63888,KSGH
13841,KILN
93812,KLUK
4850,KAOH
14813,KAKR
93817,KEVV
3879,KSLO
93894,KMVN
93810,KMDH
13802,KBLV
3865,KMWA
13994,KSTL
3966,KSUS
53904,KSET
3816,KPAH
63815,KSME
53866,KGEZ
13803,KBAK
53896,KHNB
3868,KHUF
3893,KBMG
93819,KIND
53842,KEYE
4828,KAID
14835,KLAF
54807,KOKK
14829,KGSH
93822,KSPI
3958,KALN
54831,KBMI
13995,KSGF
13997,KVIH
93989,KUIN
3945,KCOU
3994,KDMO
93996,KFAM
14938,KIRK
3938,KTBN
3963,KJEF
53931,KAIZ
3947,KMCI
3073,KDKR
13988,KMKC
53916,KCDJ
13930,KSZL
3967,KOJC
93909,KIXD
13993,KSTJ
3928,KICT
13932,KWLD
3974,KAAO
3923,KIAB
13986,KHUT
13981,KCNU
3997,KLWC
53939,KEWK
13985,KDDC
23064,KGCK
23020,KLBL
13940,KGBD
3968,KHYS
93967,KCFV
3957,KP28
13969,KPNC
13947,KFRI
3936,KMHK
13989,KEMP
13996,KTOP
13920,KFOE
13984,KCNK
93997,KRSL
3919,KSLN
93076,KEHA
23061,KALS
93005,KDRO
3011,KTEX
23067,KLHX
3013,KLAA
93058,KPUB
23070,KTAD
3028,KSPD
23065,KGLD
93990,KHLC
93037,KCOS
93010,KLIC
93067,KAPA
93009,KLXV
94050,KEEO
23063,KEGE
93073,KASE
93007,KGUC
94033,KSBS
94015,KFCS
3026,KITR
23036,KBKF
24015,KAKO
3065,KBJC
93141,KPUC
23170,KHVE
377,KINF
23186,KSGU
93129,KCDC
23159,KBCE
23066,KGJT
93013,KMTJ
93069,KCEZ
24051,KGXY
94035,KFNL
3170,KP68
93075,KCNY
94128,KLGU
23176,KMLF
23157,KBIH
23203,KMER
23257,KMCE
93241,KVCB
23232,KSAC
23206,KMHR
23208,KMCC
93216,KBAB
93205,KMYV
93225,KSMF
53123,KVGT
23153,KTPH
23154,KELY
23185,KRNO
93102,KNFL
23259,KMRY
23237,KSCK
23258,KMOD
23285,KLVK
23230,KOAK
23289,KPAO
93231,KSQL
23234,KSFO
23293,KSJC
93232,KRHV
23254,KCCR
93227,KAPC
23213,KSTS
93203,KCIC
93809,KCIR
94704,KDSV
54780,KMTP
4789,KMGJ
54790,KHWV
14734,KEWR
474,KRNV
94741,KTEB
54788,KMMK
64707,KOXC
14732,KLGA
14757,KPOU
94745,KHPN
14714,KSWF
94702,KBDR
14758,KHVN
14707,KGON
4781,KISP
94728,KNYC
64710,KSFZ
94793,KBID
14702,KBED
14756,KACK
14704,KFMH
